Exception_ID,Job_ID,Domain,Source_Filename,Source_Row_Index,Source_Column_Name,Canonical_Table,Canonical_Column,Raw_Value,Exception_Type,Reason,Insert_Timestamp
090e18af-c297-4afa-ad83-0f6f1e649a75,282fc30d-7952-4634-91c4-c9de62f2f129,trade,setup.exe,,,,,,ARCHIVE_ERROR,Blocked file extension: .exe,2026-03-08T10:54:28.704500+00:00
e5b3efb6-e028-4330-8635-7cdbbd6c3a48,282fc30d-7952-4634-91c4-c9de62f2f129,trade,customers.csv,1.0,DOE,TRD_INVOICE,DOE,None,MANDATORY_NULL,DOE is mandatory and is null in this record,2026-03-08T10:54:28.725668+00:00
a966a1dd-9aad-4dd8-8679-d662ae65dab6,282fc30d-7952-4634-91c4-c9de62f2f129,trade,customers.csv,2.0,DOE,TRD_INVOICE,DOE,None,MANDATORY_NULL,DOE is mandatory and is null in this record,2026-03-08T10:54:28.725668+00:00
a3f9aeee-b312-4cbe-80fe-47674e567e3e,282fc30d-7952-4634-91c4-c9de62f2f129,trade,customers.csv,1.0,Invoice_Number,TRD_INVOICE,Invoice_Number,None,MANDATORY_NULL,Invoice_Number is mandatory and is null in this record,2026-03-08T10:54:28.725668+00:00
399a6a48-ed15-455e-a449-c8ae01f8bf2d,282fc30d-7952-4634-91c4-c9de62f2f129,trade,customers.csv,2.0,Invoice_Number,TRD_INVOICE,Invoice_Number,None,MANDATORY_NULL,Invoice_Number is mandatory and is null in this record,2026-03-08T10:54:28.725668+00:00
58692924-bdf8-4b1e-81e8-6ca3d0c12709,282fc30d-7952-4634-91c4-c9de62f2f129,trade,customers.csv,1.0,Invoice_Date,TRD_INVOICE,Invoice_Date,None,MANDATORY_NULL,Invoice_Date is mandatory and is null in this record,2026-03-08T10:54:28.725668+00:00
14ed4483-938c-460d-9225-ffaa7aff25bb,282fc30d-7952-4634-91c4-c9de62f2f129,trade,customers.csv,2.0,Invoice_Date,TRD_INVOICE,Invoice_Date,None,MANDATORY_NULL,Invoice_Date is mandatory and is null in this record,2026-03-08T10:54:28.725668+00:00
16e3e433-f452-48e5-bec1-22e80051381c,282fc30d-7952-4634-91c4-c9de62f2f129,trade,customers.csv,1.0,Due_Date,TRD_INVOICE,Due_Date,None,MANDATORY_NULL,Due_Date is mandatory and is null in this record,2026-03-08T10:54:28.725668+00:00
cf556096-f448-411e-9cd6-d4cc2e40f463,282fc30d-7952-4634-91c4-c9de62f2f129,trade,customers.csv,2.0,Due_Date,TRD_INVOICE,Due_Date,None,MANDATORY_NULL,Due_Date is mandatory and is null in this record,2026-03-08T10:54:28.725668+00:00
a7e0bce3-eb28-4d23-88cc-3996678fa6fa,282fc30d-7952-4634-91c4-c9de62f2f129,trade,customers.csv,1.0,Invoice_Amount,TRD_INVOICE,Invoice_Amount,None,MANDATORY_NULL,Invoice_Amount is mandatory and is null in this record,2026-03-08T10:54:28.725668+00:00
10947d10-5f92-4685-a179-4df6c59e1bcb,282fc30d-7952-4634-91c4-c9de62f2f129,trade,customers.csv,2.0,Invoice_Amount,TRD_INVOICE,Invoice_Amount,None,MANDATORY_NULL,Invoice_Amount is mandatory and is null in this record,2026-03-08T10:54:28.725668+00:00
74cc679d-280f-43c6-862b-7a9d8ae4f23d,282fc30d-7952-4634-91c4-c9de62f2f129,trade,customers.csv,1.0,Payment_Terms,TRD_INVOICE,Payment_Terms,None,MANDATORY_NULL,Payment_Terms is mandatory and is null in this record,2026-03-08T10:54:28.725668+00:00
cd0c7f4b-923d-464f-b85f-6f532a24cd49,282fc30d-7952-4634-91c4-c9de62f2f129,trade,customers.csv,2.0,Payment_Terms,TRD_INVOICE,Payment_Terms,None,MANDATORY_NULL,Payment_Terms is mandatory and is null in this record,2026-03-08T10:54:28.725668+00:00
49d67e5b-714e-4aef-ae4c-5628d28a55ba,282fc30d-7952-4634-91c4-c9de62f2f129,trade,invoices.csv,1.0,Company_Name,TRD_CUSTOMER,Company_Name,None,MANDATORY_NULL,Company_Name is mandatory and is null in this record,2026-03-08T10:54:28.746212+00:00
1f47873b-8e12-4fcf-b60c-62fb98bbe870,282fc30d-7952-4634-91c4-c9de62f2f129,trade,invoices.csv,2.0,Company_Name,TRD_CUSTOMER,Company_Name,None,MANDATORY_NULL,Company_Name is mandatory and is null in this record,2026-03-08T10:54:28.746212+00:00
