Lineage_ID,Mapping_Reference_ID,Job_ID,Domain,Source_Filename,Source_Column_Name,Source_Column_Normalised,Canonical_Table,Canonical_Column,Match_Method,Confidence_Score,Was_Mandatory,Met_Threshold,LLM_Reasoning,Lookup_Variant_Matched,Archive_Lineage_ID,Insert_Timestamp
1de06292-68fa-4d5a-ae4e-21eb1ad6460c,1a3df1f3-8fda-4bfe-a0a5-1b18be7cc095,dec89d31-05c4-494f-9641-f003069a69d9,trade,sample_invoices.csv,Account Number,account_number,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,account_number,,2026-03-08T12:07:34.132713+00:00
46f6469b-ba14-4082-ab72-040335148558,1a3df1f3-8fda-4bfe-a0a5-1b18be7cc095,dec89d31-05c4-494f-9641-f003069a69d9,trade,sample_invoices.csv,Company,company,TRD_CUSTOMER,Company_Name,EXACT LOOKUP,100,True,True,,company,,2026-03-08T12:07:34.132713+00:00
5a01199b-d2d7-46c8-ac31-fd588e83076d,1a3df1f3-8fda-4bfe-a0a5-1b18be7cc095,dec89d31-05c4-494f-9641-f003069a69d9,trade,sample_invoices.csv,Country,country,TRD_CUSTOMER,Country_Code,EXACT LOOKUP,100,False,True,,country,,2026-03-08T12:07:34.132713+00:00
93a21e5f-16ba-48fc-8f4e-95fce6752ca6,1a3df1f3-8fda-4bfe-a0a5-1b18be7cc095,dec89d31-05c4-494f-9641-f003069a69d9,trade,sample_invoices.csv,Invoice No,invoice_no,TRD_INVOICE,Invoice_Number,EXACT LOOKUP,100,True,True,,invoice_no,,2026-03-08T12:07:34.132713+00:00
15104bab-259c-4714-9e95-45b1d6f7374a,1a3df1f3-8fda-4bfe-a0a5-1b18be7cc095,dec89d31-05c4-494f-9641-f003069a69d9,trade,sample_invoices.csv,Invoice Date,invoice_date,TRD_INVOICE,Invoice_Date,EXACT LOOKUP,100,True,True,,invoice_date,,2026-03-08T12:07:34.132713+00:00
4f78e835-77c3-4d02-b355-60d552fef895,1a3df1f3-8fda-4bfe-a0a5-1b18be7cc095,dec89d31-05c4-494f-9641-f003069a69d9,trade,sample_invoices.csv,Due Date,due_date,TRD_INVOICE,Due_Date,EXACT LOOKUP,100,True,True,,due_date,,2026-03-08T12:07:34.132713+00:00
7f3eb8ad-5723-4453-b9c7-0581521f728c,1a3df1f3-8fda-4bfe-a0a5-1b18be7cc095,dec89d31-05c4-494f-9641-f003069a69d9,trade,sample_invoices.csv,Invoice Amount,invoice_amount,TRD_INVOICE,Invoice_Amount,EXACT LOOKUP,100,True,True,,invoice_amount,,2026-03-08T12:07:34.132713+00:00
d011166e-0623-47fd-b844-765eeb455864,1a3df1f3-8fda-4bfe-a0a5-1b18be7cc095,dec89d31-05c4-494f-9641-f003069a69d9,trade,sample_invoices.csv,Payment Terms,payment_terms,TRD_INVOICE,Payment_Terms,EXACT LOOKUP,100,True,True,,payment_terms,,2026-03-08T12:07:34.132713+00:00
2f948342-f425-44a7-a825-6152c9c5d3cc,1a3df1f3-8fda-4bfe-a0a5-1b18be7cc095,dec89d31-05c4-494f-9641-f003069a69d9,trade,sample_invoices.csv,DOE,doe,TRD_INVOICE,DOE,EXACT LOOKUP,100,True,True,,doe,,2026-03-08T12:07:34.132713+00:00
99e63c3e-feab-49f7-88d0-7d86a9218c29,1a3df1f3-8fda-4bfe-a0a5-1b18be7cc095,dec89d31-05c4-494f-9641-f003069a69d9,trade,sample_invoices.csv,Currency,currency,TRD_INVOICE,Currency,EXACT LOOKUP,100,False,True,,currency,,2026-03-08T12:07:34.132713+00:00
59c9f757-7093-47ba-8982-03767c3e4118,1a3df1f3-8fda-4bfe-a0a5-1b18be7cc095,dec89d31-05c4-494f-9641-f003069a69d9,trade,sample_invoices.csv,Account Number,account_number,TRD_INVOICE,Account_Number,EXACT LOOKUP,100,True,True,,,,2026-03-08T12:07:34.133708+00:00
